id,latitude,longitude
4812705,40.00126,116.31614
4825764,39.75045,116.55947
4826078,39.63301,116.3257
4827732,39.93842,116.43542
4850257,39.88849,116.3403
4857138,40.00201,116.46267
4864988,39.97743,116.36298
4878955,40.03849,116.59473
4899894,39.93633,116.38573999999998
4911685,40.20904,116.72217
4917080,39.98307,116.48557
4951287,39.99067,116.34227
4982247,39.95417,116.3105
4990531,39.94279,116.39908
4995564,40.15418,116.55011
4998951,39.98785,116.47357
5022725,39.88776,116.46132
5032897,39.92814,116.45772
5063347,39.88725,116.4683
5071177,39.92575,116.37613
5087466,40.02807,116.3377
5101112,40.28642,116.63912
5135190,39.9482,116.40333
5137146,39.9183,116.453
5138122,39.76242,116.54324
5149320,39.89575,116.46264
5257726,39.96165,116.45274
5257727,39.96032,116.45277
5262411,39.89958,116.47443
5281548,39.92765,116.61552
5313865,39.9383,116.43682
5320059,39.98872,116.48429
5354823,39.89556,116.46641
5433892,39.91898,116.51828
5473522,39.91927,116.28142
5491823,39.8997,116.49331
5500096,39.93436,116.46925
5512411,39.91843,116.45321
5513165,39.8731,116.44696
5517546,39.90886,116.57231000000002
5517598,39.9835,116.43623999999998
5517711,40.05692,116.16553
5539207,39.87877,116.44901000000002
5542795,39.90055,116.45129
5571880,39.96675,116.32758
5572523,39.91833,116.51758999999998
5573471,39.851040000000005,116.37037
5577084,39.90377,116.62922
5594254,39.852340000000005,116.36961
5608398,39.96309,116.43309
5611781,40.538140000000006,116.65538
5622017,39.94778,116.38407
5631410,39.7655,116.18162
5644182,39.87195,116.46839
5654076,40.10252,116.40613
5665038,40.03157,116.66889
5687029,39.9858,116.51353
5709715,39.97483,116.36692
5714531,39.80124,116.505
5740388,39.941790000000005,116.42855
5741741,39.94006,116.42439
5741800,40.09542,116.51659
5768441,39.92886,116.43124
5777349,39.89112,116.29944
5777362,39.90869,116.57899
5778638,40.00885,116.53039
5828761,39.899,116.45695
5839731,39.92376,116.42088
5841968,39.99335,116.40622
5863936,40.0389,116.4187
5865446,39.91823,116.55157
5875406,39.97146,116.37321
5876210,39.98956,116.47938
5887641,39.94528,116.46758
5894312,39.96275,116.41806
5905794,39.93445,116.44396
5912245,40.06705,116.30761
5953887,39.68444,116.31377
5982248,39.9749,116.37718999999998
5982385,39.9448,116.44423
5993502,39.91664,116.45059
6006911,39.93322,116.44378
6019307,40.53634,116.02317
6034500,39.9324,116.40423
6058402,39.80551,116.48954
6067156,39.931,116.29438
6073229,39.94319,116.46837
6086159,40.01105,116.35085
6094759,39.94492,116.4746
6095652,39.86993,116.47085
6115173,40.00055,116.4658
6121324,39.90928,116.55737
6130218,39.90979,116.51076
6134230,39.98474,116.48841000000002
6142103,39.9953,116.4865
6163631,40.387170000000005,116.55522
6190598,39.87046,116.45171
6202834,39.99076,116.49775
6203040,39.99965,116.3252
6203323,39.99996,116.32348
6207089,39.866690000000006,116.42402
6215542,39.99214,116.4984
6223892,39.86368,116.42857
6232044,39.86477,116.42996
6234168,39.882740000000005,116.60083
6243028,39.86483,116.42968
6243357,39.86482,116.4227
6243409,39.86762,116.42125
6262650,39.89546,116.22859
6279324,39.94025,116.4358
6285144,39.908640000000005,116.57163
6285956,39.76416,116.32956
6293257,40.12782,116.82465
6293274,40.12127,116.82667
6299067,40.06208,116.42768999999998
6300290,39.87789,116.49377
6307995,40.03104,116.43911
6317579,39.9338,116.41343
6328369,39.93265,116.32748
6333514,39.92811,116.40946
6363475,40.12811,116.58968
6368255,39.97232,116.3724
6384359,39.9364,116.40711
6392123,40.12765,116.59183
6430022,39.967220000000005,116.29993
6438811,39.92413,116.56473
6453277,39.9249,116.47524
6454423,39.88557,116.46139
6472338,39.93159,116.49665
6481422,39.84996,116.33306
6517740,39.91362,116.5393
6545051,39.93329,116.43921
6562524,39.9952,116.32175
6578563,39.96967,116.30715
