id,name,host_id,host_name,room_type,price,minimum_nights,availability_365,,
3416332,World-Wide Welcome ,13726293,Zhiguang,40.04543,116.29498,Private room,302,1,364
3429464,Best family apartment,17284672,Linda,39.92102,116.58759,Entire home/apt,986,2,190
3499185,sanlitun large room near embassy and subway,17619297,Cathy,39.92316,116.456,Private room,617,30,365
3518354,Balcony Room CBD/东四环带独立卫生间和大阳台的舒适卧室,17145598,Robin,39.9234,116.50636,Private room,268,1,320
3571646,Exchange Accommodation BJ-SH,14143367,Sichao,39.8853,116.46043,Entire home/apt,403,1,365
3649223,"五道口,温馨简约大卧室,五道口商圈地铁步行五分钟,近清北,北语,林大,矿大,酒吧一条街",18436368,小麦,39.99006,116.33791,Private room,268,1,33
3681827,UNIQUE SPACE HOME 1MIN TO METRO,13604427,Iris,39.8628,116.42502,Entire home/apt,785,2,0
3714901,酒仙桥､颐堤港旁中世纪古典风带厨房独立一居,6993205,Xing,39.97616,116.49344,Entire home/apt,396,2,351
3725519,A Beer Theme Room with a great Located in Chaoyang,5557603,Emma,39.91979,116.45257,Private room,188,1,0
3734120,阜成路交通超便利小区,19076299,Jingjing,39.92259,116.28612,Entire home/apt,356,3,0
3793864,国贸 CBD 世贸天阶世界城酒店,19482030,爱民,39.91657,116.45269,Entire home/apt,597,31,365
3795645,国贸 新城国际 二居室,19482030,爱民,39.91994,116.4552,Entire home/apt,879,31,364
3795992,国贸 CBD 新城国际复试正规三居室,19482030,爱民,39.91812,116.45609,Entire home/apt,1154,30,365
3796163,东直门  居家小户型,19482030,爱民,39.92082,116.33888,Entire home/apt,698,31,365
3802970,国贸CBD 高端 公寓,19482030,爱民,39.91844,116.45574,Entire home/apt,799,30,364
3803542,国贸 CBD 酒店服务公寓,19482030,爱民,39.91678,116.45329,Entire home/apt,651,31,364
3804282,Big Bedroom with Private Bathroom,13347104,Cicy,39.84902,116.36103,Private room,235,7,88
3813723,东直门地铁 第二使馆区酒店式公寓,19482030,爱民,39.92223,116.33543,Entire home/apt,597,31,365
3821936,国贸 世贸天阶紧邻 小户型 适合差旅长期居住,19482030,爱民,39.91637,116.4528,Entire home/apt,597,30,364
3863360,Sunny room in great loft next Sihui,19941160,Martin,39.91096,116.49851,Private room,208,1,290
3865812,Minimalist quiet apartment,16602434,Chuck,39.97382,116.40949,Private room,248,4,4
3866222,Cozy Bedroom,13347104,Cicy,39.84212,116.36148,Private room,141,1,175
3878233,Your home away from home,5557443,Jade,39.90804,116.57145,Entire home/apt,336,1,296
3899392,整套温馨2居室/Entire cozy 2 bedroom apartment,19813944,Neo,39.89086,116.30019,Entire home/apt,181,1,320
3927018,Cosy studio in Central Park (新城国际),10669972,Alex,39.91897,116.45598,Entire home/apt,752,2,157
3953376,国贸 大望路  新光天地对面精装一居室,19482030,爱民,39.90881,116.47487,Entire home/apt,503,30,365
3953745,国贸 大望路 地铁D口出30米高大上公寓,19482030,爱民,39.90858,116.47317,Entire home/apt,799,30,365
3963178,国贸  温莎大道  一居室世贸天阶附近秀水街旁第一使馆区毗邻,19482030,爱民,39.91383,116.49296,Entire home/apt,698,30,365
3971474,国贸 新城国际 三居室 五星标准,19482030,爱民,39.91567,116.46738,Entire home/apt,1550,30,365
4009069,"H1 Entire-3bedrooms,2bathrooms",20788084,开心短租公寓,39.91986,116.50248,Entire home/apt,624,3,290
4009332,"H2 Entire, 2bedrooms 2bathrooms",20788084,开心短租公寓,39.91949,116.49621,Entire home/apt,577,3,361
4016289,国贸 CBD新城国际大三居室 可长短租,19482030,爱民,39.92008,116.45555,Entire home/apt,1047,30,364
4018161,东直门 外使馆区 海晟名苑大二居室,19482030,爱民,39.94143,116.44302,Entire home/apt,953,30,364
4018389,国贸 CBD新城大四居室 可以长短期出租,19482030,爱民,39.91942,116.45731,Entire home/apt,2000,5,364
4025985,国贸 CBD财富中心三居室 可长短租,19482030,爱民,39.91698,116.45996,Entire home/apt,953,30,364
4028276,H1-Private room with balcony,20788084,开心短租公寓,39.91817,116.49784,Private room,181,3,337
4028395,H2-Private room,20788084,开心短租公寓,39.91783,116.4978,Private room,168,3,290
4028476,H3-Private room with bathroom,20788084,开心短租公寓,39.91927,116.49617,Private room,262,2,363
4028766,H4-Private room with bathroom,20788084,开心短租公寓,39.91967,116.50427,Private room,228,3,358
4028873,H5 Private room with bathroom,20788084,开心短租公寓,39.91854,116.50211,Private room,262,3,358
4041258,国贸 新城国际一居室可长短租,19482030,爱民,39.91878,116.45636,Entire home/apt,597,30,364
4056031,北京南站\温馨公寓,18504611,Mengmeng,39.8612,116.38085,Entire home/apt,302,1,0
4069460,温馨现代一居,20845268,Leah,40.05729,116.335,Entire home/apt,148,15,0
4085687,国贸 CBD财富中心 二居室可长短租,19482030,爱民,39.91732,116.45877,Entire home/apt,752,30,364
