listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
2779901,2020-01-02,t,$866.00,$866.00,1.0,365.0
2779901,2019-09-21,t,$684.00,$684.00,1.0,365.0
2797791,2019-11-03,t,$950.00,$950.00,1.0,1125.0
2797791,2019-09-17,t,$950.00,$950.00,1.0,1125.0
2889922,2019-06-26,t,$980.00,$980.00,1.0,1125.0
2889922,2019-10-30,t,$980.00,$980.00,1.0,1125.0
2989696,2019-12-02,f,$320.00,$320.00,2.0,6.0
2989696,2019-06-10,t,$300.00,$300.00,2.0,6.0
3015545,2019-07-02,t,$199.00,$199.00,1.0,365.0
3015545,2019-12-10,t,$199.00,$199.00,1.0,365.0
3069570,2019-09-13,t,$950.00,$950.00,3.0,15.0
3069570,2019-04-20,f,$950.00,$950.00,3.0,15.0
3077753,2020-03-30,f,$250.00,$250.00,2.0,1125.0
3077753,2019-10-29,f,$250.00,$250.00,2.0,1125.0
3085229,2019-08-20,t,$2999.00,$2999.00,7.0,360.0
3085229,2019-08-29,t,$2999.00,$2999.00,7.0,360.0
3097388,2019-08-03,t,$570.00,$570.00,3.0,1125.0
3097388,2020-03-25,t,$570.00,$570.00,3.0,1125.0
3105131,2019-06-26,t,$425.00,$425.00,3.0,300.0
3105131,2019-10-24,f,$451.00,$451.00,3.0,300.0
3114942,2020-03-21,f,$1500.00,$1500.00,7.0,7.0
3114942,2020-03-09,f,$1500.00,$1500.00,7.0,7.0
3116888,2019-04-27,f,$591.00,$591.00,2.0,1125.0
3116888,2019-08-17,f,$591.00,$591.00,2.0,1125.0
3139576,2019-05-30,f,$200.00,$200.00,2.0,1125.0
3139576,2020-01-06,t,$200.00,$200.00,2.0,1125.0
3200395,2019-12-08,t,$859.00,$859.00,1.0,1125.0
3200395,2020-01-23,t,$859.00,$859.00,1.0,1125.0
3211028,2019-07-09,t,$235.00,$235.00,1.0,1125.0
3211028,2020-04-07,t,$235.00,$235.00,1.0,1125.0
3231112,2019-12-14,f,$1342.00,$1342.00,7.0,1125.0
3231112,2019-04-25,t,$1342.00,$1342.00,7.0,1125.0
3371149,2019-05-08,t,$698.00,$698.00,2.0,1125.0
3371149,2019-12-27,f,$698.00,$698.00,2.0,1125.0
3387246,2019-12-08,t,$338.00,$338.00,1.0,1125.0
3387246,2019-12-20,t,$338.00,$338.00,1.0,1125.0
3387406,2019-08-14,t,$338.00,$338.00,1.0,1125.0
3387406,2019-11-08,t,$338.00,$338.00,1.0,1125.0
3389315,2019-07-23,f,$1500.00,$1500.00,2.0,1125.0
3389315,2020-02-11,f,$1500.00,$1500.00,2.0,1125.0
3416332,2019-08-07,t,$302.00,$302.00,1.0,1125.0
3416332,2019-09-25,t,$302.00,$302.00,1.0,1125.0
3429464,2019-09-18,t,$988.00,$988.00,2.0,8.0
3429464,2019-05-07,f,$988.00,$988.00,2.0,8.0
3499185,2019-11-27,t,$615.00,$615.00,30.0,365.0
3499185,2020-02-23,t,$615.00,$615.00,30.0,365.0
3518354,2019-10-05,t,$266.00,$266.00,1.0,1125.0
3518354,2019-04-18,f,$266.00,$266.00,1.0,1125.0
3571646,2019-11-25,t,$400.00,$400.00,1.0,1125.0
3571646,2020-02-13,t,$400.00,$400.00,1.0,1125.0
3649223,2019-07-04,f,$276.00,$276.00,1.0,30.0
3649223,2019-07-19,f,$279.00,$279.00,1.0,30.0
3681827,2020-01-15,f,$950.00,$950.00,2.0,365.0
3681827,2020-04-09,f,$950.00,$950.00,2.0,365.0
3714901,2019-06-15,t,$398.00,$398.00,2.0,1125.0
3714901,2020-02-29,t,$398.00,$398.00,2.0,1125.0
3725519,2020-03-23,f,$201.00,$201.00,1.0,1125.0
3725519,2020-04-01,f,$201.00,$201.00,1.0,1125.0
3734120,2020-02-14,f,$458.00,$458.00,3.0,1125.0
3734120,2020-02-01,f,$458.00,$458.00,3.0,1125.0
3793864,2019-11-12,t,$600.00,$600.00,31.0,365.0
3793864,2019-07-05,t,$600.00,$600.00,31.0,365.0
3795645,2019-08-14,t,$880.00,$880.00,31.0,365.0
3795645,2019-09-03,t,$880.00,$880.00,31.0,365.0
3795992,2019-07-17,t,$1152.00,$1152.00,30.0,365.0
3795992,2019-05-17,t,$1152.00,$1152.00,30.0,365.0
3796163,2019-11-17,t,$700.00,$700.00,31.0,365.0
3796163,2020-02-07,t,$700.00,$700.00,31.0,365.0
3802970,2019-09-09,t,$799.00,$799.00,30.0,365.0
3802970,2019-09-13,t,$799.00,$799.00,30.0,365.0
3803542,2019-05-29,t,$650.00,$650.00,31.0,365.0
3803542,2019-06-21,t,$650.00,$650.00,31.0,365.0
3804282,2019-08-24,f,$235.00,$235.00,7.0,365.0
3804282,2020-02-18,f,$235.00,$235.00,7.0,365.0
3813723,2019-08-13,t,$600.00,$600.00,31.0,365.0
3813723,2019-10-24,t,$600.00,$600.00,31.0,365.0
3821936,2020-02-28,t,$600.00,$600.00,30.0,365.0
3821936,2019-07-10,t,$600.00,$600.00,30.0,365.0
3863360,2020-03-26,t,$209.00,$209.00,1.0,1125.0
3863360,2019-05-29,f,$209.00,$209.00,1.0,1125.0
3865812,2019-05-22,f,$170.00,$170.00,4.0,20.0
3865812,2019-04-20,f,$170.00,$170.00,4.0,20.0
3866222,2020-03-25,f,$138.00,$138.00,1.0,365.0
3866222,2020-01-19,f,$138.00,$138.00,1.0,365.0
3878233,2019-08-18,t,$338.00,$338.00,1.0,1125.0
3878233,2019-05-09,f,$338.00,$338.00,1.0,1125.0
3899392,2020-03-17,t,$179.00,$179.00,1.0,1125.0
3899392,2019-08-02,t,$179.00,$179.00,1.0,1125.0
3927018,2019-07-15,t,$750.00,$750.00,2.0,180.0
3927018,2019-07-21,t,$750.00,$750.00,2.0,180.0
3953376,2019-08-25,t,$500.00,$500.00,30.0,365.0
3953376,2019-12-05,t,$500.00,$500.00,30.0,365.0
3953745,2019-08-12,t,$800.00,$800.00,30.0,365.0
3953745,2020-04-09,t,$800.00,$800.00,30.0,365.0
3963178,2019-09-25,t,$696.00,$696.00,30.0,365.0
3963178,2019-09-11,t,$696.00,$696.00,30.0,365.0
3971474,2019-04-26,t,$1550.00,$1550.00,30.0,365.0
3971474,2019-08-24,t,$1550.00,$1550.00,30.0,365.0
4009069,2019-11-30,t,$623.00,$623.00,3.0,365.0
4009069,2019-11-23,t,$623.00,$623.00,3.0,365.0
4009332,2019-12-10,t,$579.00,$579.00,3.0,365.0
4009332,2019-10-16,t,$579.00,$579.00,3.0,365.0
4016289,2019-12-31,t,$1050.00,$1050.00,30.0,365.0
4016289,2020-04-05,t,$1050.00,$1050.00,30.0,365.0
4018161,2019-08-14,t,$950.00,$950.00,30.0,365.0
4018161,2019-07-07,t,$950.00,$950.00,30.0,365.0
4018389,2019-10-06,t,$2000.00,$2000.00,5.0,365.0
4018389,2020-02-10,t,$2000.00,$2000.00,5.0,365.0
4025985,2019-11-21,t,$954.00,$954.00,30.0,365.0
4025985,2019-09-19,t,$954.00,$954.00,30.0,365.0
4028276,2020-02-25,t,$180.00,$180.00,3.0,360.0
4028276,2019-05-19,t,$252.00,$252.00,3.0,360.0
4028395,2019-10-14,t,$165.00,$165.00,3.0,365.0
4028395,2019-11-02,t,$165.00,$165.00,3.0,365.0
4028476,2019-04-19,t,$262.00,$262.00,2.0,365.0
4028476,2020-03-17,t,$262.00,$262.00,2.0,365.0
4028766,2019-10-19,t,$228.00,$228.00,3.0,365.0
4028766,2019-06-11,t,$319.00,$319.00,3.0,365.0
4028873,2019-10-29,t,$262.00,$262.00,3.0,365.0
4028873,2020-01-27,t,$262.00,$262.00,3.0,365.0
4041258,2019-09-09,t,$600.00,$600.00,30.0,365.0
4041258,2020-02-05,t,$600.00,$600.00,30.0,365.0
4056031,2019-09-05,f,$380.00,$380.00,1.0,1125.0
4056031,2019-11-26,f,$380.00,$380.00,1.0,1125.0
4069460,2019-07-07,f,$150.00,$150.00,15.0,365.0
4069460,2019-09-12,f,$150.00,$150.00,15.0,365.0
4085687,2019-12-11,t,$750.00,$750.00,30.0,365.0
4085687,2019-09-17,t,$750.00,$750.00,30.0,365.0
4091552,2019-11-26,t,$400.00,$400.00,20.0,60.0
4091552,2019-06-16,t,$400.00,$400.00,20.0,60.0
4093392,2019-08-28,t,$870.00,$870.00,30.0,365.0
4093392,2020-03-18,t,$870.00,$870.00,30.0,365.0
4102482,2019-10-30,t,$498.00,$498.00,1.0,1125.0
4102482,2020-01-30,t,$498.00,$498.00,1.0,1125.0
4106251,2019-07-27,t,$939.00,$939.00,3.0,45.0
4106251,2019-09-10,t,$939.00,$939.00,3.0,45.0
4106316,2019-12-16,f,$463.00,$463.00,1.0,1125.0
4106316,2019-10-01,t,$456.00,$456.00,1.0,1125.0
4121250,2020-03-18,t,$1180.00,$1062.00,1.0,1125.0
4121250,2019-09-11,t,$1180.00,$1062.00,1.0,1125.0
4121354,2019-12-13,t,$1580.00,$1422.00,1.0,1125.0
4121354,2019-09-20,t,$1580.00,$1422.00,1.0,1125.0
4121580,2019-09-12,t,$980.00,$882.00,1.0,1125.0
4121580,2020-02-09,t,$980.00,$882.00,1.0,1125.0
4152653,2019-05-07,f,$1007.00,$1007.00,7.0,90.0
4152653,2019-11-21,f,$1007.00,$1007.00,7.0,90.0
4165566,2019-10-06,t,$880.00,$880.00,1.0,1125.0
4165566,2020-03-08,t,$880.00,$880.00,1.0,1125.0
4175383,2020-02-28,f,$223.00,$223.00,2.0,30.0
4175383,2019-06-19,f,$195.00,$195.00,2.0,30.0
4219257,2019-05-11,t,$338.00,$338.00,1.0,1125.0
4219257,2019-12-11,t,$338.00,$338.00,1.0,1125.0
4222923,2019-07-29,t,$338.00,$338.00,1.0,1125.0
4222923,2019-07-23,t,$338.00,$338.00,1.0,1125.0
4258685,2019-11-01,f,$318.00,$318.00,2.0,1125.0
4258685,2019-09-10,f,$285.00,$285.00,2.0,1125.0
4278904,2019-10-30,t,$226.00,$226.00,1.0,1125.0
4278904,2020-02-18,t,$226.00,$226.00,1.0,1125.0
4280214,2019-09-19,t,$226.00,$226.00,1.0,1125.0
4280214,2020-03-02,t,$226.00,$226.00,1.0,1125.0
4305365,2019-05-07,t,$134.00,$134.00,1.0,1125.0
